carat;cut;color;clarity;depth;table;price;x;y;z
0.32;Premium;I;IF;60.3;58;673;4.41;4.45;2.67
0.42;Ideal;F;SI1;60.8;54;843;4.83;4.94;2.97
0.31;Premium;H;VS1;59.9;59;544;4.38;4.4;2.63
1.06;Ideal;I;SI1;61.8;55;5697;6.54;6.57;4.04
0.71;Ideal;G;VS1;61.5;55;3431;5.72;5.77;3.54
0.7;Premium;E;VVS2;61;59;3389;5.64;5.71;3.5
0.98;Very Good;H;SI2;63.4;57;3091;6.41;6.32;4.04
0.6;Ideal;H;VS2;61.1;56;1648;5.47;5.49;3.35
1.14;Ideal;H;VS2;61.1;57;7409;6.71;6.78;4.12
0.35;Good;G;SI1;63.8;54;522;4.46;4.48;2.85
0.37;Ideal;E;VVS2;61.8;54;1082;4.63;4.6;2.85
1.06;Ideal;I;VS1;61.2;57;5651;6.59;6.56;4.03
1.01;Ideal;I;SI1;62.3;59;4518;6.41;6.37;3.98
0.29;Very Good;E;VS1;61.7;58;504;4.23;4.29;2.63
0.63;Very Good;D;SI1;62.8;57;1885;5.4;5.46;3.41
0.33;Ideal;F;VS2;62.3;55;854;4.47;4.42;2.77
0.35;Premium;E;SI1;61.1;59;788;4.56;4.5;2.77
0.7;Premium;E;SI1;60;59;2777;5.79;5.75;3.46
2.04;Ideal;I;SI1;60.2;56;16718;8.19;8.26;4.95
1.51;Premium;J;VS2;59.2;59;7553;7.53;7.47;4.44
0.71;Ideal;F;VS1;61.9;56;3799;5.66;5.72;3.53
0.73;Very Good;G;SI1;60.6;59;2585;5.83;5.85;3.54
0.38;Ideal;D;VVS2;61.5;57;1200;4.63;4.67;2.86
1.52;Premium;J;VS1;62.2;59;8426;7.32;7.38;4.57
1.5;Fair;E;SI1;58.2;66;11128;7.45;7.4;4.32
1.01;Premium;H;SI1;61.3;58;4513;6.47;6.39;3.94
0.71;Premium;E;VS2;61;60;2858;5.76;5.69;3.49
0.37;Ideal;F;SI1;62.4;54;791;4.63;4.6;2.88
0.31;Ideal;E;VS2;61.7;55;680;4.33;4.36;2.68
0.5;Ideal;E;SI2;61.4;57;1154;5.09;5.14;3.14
1.01;Very Good;H;VS2;61;63;5050;6.41;6.38;3.9
0.73;Very Good;F;SI2;58;61;2485;5.94;5.99;3.46
0.41;Premium;G;VS2;59.2;58;1061;4.83;4.8;2.85
1.01;Premium;I;SI2;61.9;58;3054;6.45;6.41;3.98
0.34;Ideal;F;VVS1;61.1;56;1174;4.5;4.53;2.76
0.32;Ideal;H;IF;61.4;55;814;4.42;4.47;2.73
0.9;Good;D;SI1;63.6;63;3689;6.07;6.03;3.85
0.43;Premium;G;VS1;61.8;59;943;4.83;4.88;3
0.31;Ideal;E;VVS2;61.7;56;1046;4.36;4.33;2.68
0.3;Ideal;F;VS2;61.1;56;573;4.36;4.38;2.67
0.72;Ideal;D;VS2;61.8;57;3099;5.76;5.73;3.55
0.71;Ideal;G;IF;61.8;57;3772;5.7;5.75;3.54
1;Very Good;F;SI1;61;60;5804;6.38;6.43;3.91
0.9;Ideal;H;VS1;61.8;55;4964;6.21;6.14;3.82
0.3;Ideal;F;VS2;61.6;57;776;4.33;4.3;2.66
1.27;Very Good;I;I1;60.2;62;3665;7;7.05;4.23
0.91;Ideal;G;VS2;62.3;57;4257;6.18;6.24;3.87
1.51;Fair;H;SI2;66.9;57;5919;7.13;7.09;4.75
1.1;Premium;G;SI1;62.3;58;5088;6.61;6.55;4.1
1;Very Good;D;VS2;62.6;56;6881;6.33;6.39;3.98
1.57;Ideal;I;SI1;61.9;55;11040;7.38;7.44;4.59
0.63;Ideal;H;VS2;62.1;54;1641;5.51;5.54;3.43
0.57;Ideal;F;IF;61.8;54;2974;5.33;5.35;3.3
0.32;Premium;J;SI1;63;58;480;4.35;4.32;2.73
0.48;Good;G;SI1;64.7;58;914;4.84;4.93;3.16
0.66;Very Good;G;IF;60.5;59;3051;5.69;5.74;3.46
1.5;Good;G;SI2;57.9;61;6006;7.52;7.48;4.35
1.5;Very Good;F;SI1;62.8;56;9904;7.26;7.33;4.58
0.31;Very Good;E;VVS1;61.2;58;890;4.35;4.38;2.67
2;Fair;I;I1;66;60;5667;7.78;7.74;5.1
0.46;Ideal;G;SI2;62.2;53;864;4.95;4.98;3.09
0.92;Good;D;SI2;60.3;61;3843;6.29;6.38;3.82
0.33;Ideal;H;VS1;61.4;57;743;4.49;4.44;2.74
0.45;Fair;F;VS2;67;56;923;4.77;4.7;3.17
1.53;Premium;H;VS2;59.9;60;10827;7.5;7.46;4.48
1.6;Very Good;F;SI2;60.5;60;8377;7.52;7.55;4.56
1.01;Premium;G;SI2;63;58;4038;6.34;6.29;3.98
1.39;Good;F;SI2;63.8;55;7096;7.08;7.05;4.51
0.35;Ideal;G;IF;62;54;1001;4.54;4.56;2.82
1;Premium;H;SI1;62.7;60;4469;6.3;6.24;3.93
0.77;Ideal;F;SI1;61.4;55;3169;5.93;5.95;3.65
0.9;Ideal;J;VS1;62.1;57;3418;6.16;6.18;3.83
0.41;Ideal;G;SI2;62.1;53.6;659;4.75;4.79;2.96
0.51;Ideal;G;VVS2;61.1;56;1974;5.19;5.15;3.16
0.41;Ideal;D;SI1;61.6;55;791;4.78;4.8;2.95
0.33;Very Good;F;VVS1;63.3;57;980;4.44;4.38;2.79
0.61;Good;H;VVS2;60.3;60.5;1821;5.44;5.48;3.29
1.56;Very Good;H;VVS2;63.3;58;12098;7.3;7.35;4.64
1.2;Premium;F;SI1;62.9;58;6435;6.76;6.69;4.23
0.59;Ideal;D;IF;60.7;58;4161;5.45;5.49;3.32
1.23;Premium;H;VS2;62.4;61;6957;6.85;6.8;4.26
0.24;Ideal;F;VVS2;61.1;57;552;4.03;4.06;2.47
0.41;Good;F;VS1;64.4;57;827;4.67;4.71;3.02
0.51;Ideal;E;VS2;61.9;56;1781;5.16;5.12;3.18
0.8;Very Good;H;SI2;59.7;58;2263;6.03;6.09;3.62
1.64;Very Good;I;SI1;62.3;58;9144;7.53;7.63;4.72
1.21;Premium;H;SI1;61.8;58;6180;6.83;6.79;4.21
0.3;Ideal;E;VVS2;62.3;54;742;4.31;4.36;2.7
0.7;Ideal;F;SI1;61.2;55;3119;5.74;5.76;3.52
0.4;Ideal;E;VVS2;61.6;56;1145;4.74;4.77;2.93
0.4;Ideal;G;IF;62.2;55;1333;4.73;4.76;2.95
1.01;Fair;D;SI1;66.3;55;4118;6.22;6.17;4.11
0.34;Ideal;E;VS1;62;56;805;4.48;4.52;2.79
0.3;Ideal;F;IF;61.8;55;886;4.32;4.35;2.68
1.2;Premium;G;VS1;62.4;58;8602;6.82;6.8;4.25
1.54;Ideal;J;VVS2;62.8;58;9171;7.32;7.37;4.61
0.41;Ideal;F;VS2;61;57;863;4.76;4.81;2.92
0.73;Very Good;G;SI1;59.8;61;2330;5.83;5.85;3.49
0.41;Very Good;G;SI2;63.4;58;784;4.73;4.7;2.99
0.41;Very Good;E;VVS2;61.6;60;1249;4.75;4.77;2.93
0.3;Premium;E;VS2;62.9;58;844;4.24;4.22;2.66
1.22;Ideal;H;VS2;61.3;56;8596;6.85;6.88;4.21
1.51;Ideal;F;SI1;62.8;57;12545;7.28;7.33;4.59
0.71;Good;H;SI1;57.9;62;2354;5.82;5.86;3.38
1.01;Very Good;F;VS2;61;59;5560;6.39;6.46;3.92
1.01;Very Good;D;SI1;61.5;54;5132;6.4;6.47;3.96
0.3;Ideal;E;VS2;61;56;844;4.36;4.33;2.65
0.4;Ideal;G;SI1;60.1;56;1084;4.8;4.85;2.9
0.51;Ideal;D;VS2;62.7;55;1882;5.12;5.09;3.2
0.78;Very Good;E;VS1;61.5;60;3898;5.86;5.92;3.62
0.48;Premium;E;VS2;62.5;61;1323;5.01;4.97;3.12
0.41;Ideal;F;VS1;62.6;55;1007;4.75;4.77;2.98
1.08;Very Good;H;SI2;63;59;4481;6.51;6.54;4.11
1.53;Premium;E;SI1;61.3;59;12968;7.4;7.35;4.52
0.31;Premium;D;VS2;61.7;59;942;4.34;4.31;2.67
1.26;Premium;I;SI2;62.2;58;5398;6.98;6.92;4.32
0.9;Very Good;H;SI2;62.9;57;3160;6.09;6.16;3.85
0.32;Very Good;G;VS1;61.7;55;645;4.37;4.41;2.71
1.2;Very Good;J;SI1;60.5;59;4455;6.79;6.84;4.12
0.74;Very Good;I;VS1;62.3;60;2491;5.78;5.8;3.61
0.4;Premium;G;IF;59.8;58;1397;4.85;4.79;2.88
0.73;Ideal;F;VS1;61.4;55;3797;5.8;5.83;3.57
0.23;Very Good;E;VVS2;62.3;55;505;3.9;3.93;2.44
1.11;Ideal;D;SI2;61.6;55;5648;6.66;6.62;4.09
0.53;Premium;G;VS2;62.5;56;1607;5.19;5.18;3.24
0.41;Ideal;F;SI1;61.4;56;824;4.77;4.8;2.94
0.5;Very Good;D;VVS2;63.3;55;2310;5.08;5.06;3.21
1.52;Fair;H;SI2;64.9;58;7388;7.23;7.19;4.68
1.23;Ideal;F;SI2;62.3;58;5894;6.8;6.84;4.25
0.33;Very Good;G;VVS2;61.9;58;752;4.39;4.43;2.73
0.72;Premium;F;VVS2;61.6;59;3105;5.78;5.72;3.54
1.53;Premium;D;SI1;61.6;58;10907;7.42;7.35;4.55
0.63;Ideal;E;VVS2;61.6;57;2697;5.52;5.49;3.39
0.32;Very Good;G;SI2;63;56;421;4.32;4.35;2.73
0.75;Very Good;H;SI2;61.9;56;2228;5.79;5.87;3.61
0.74;Ideal;F;SI1;62.2;54;2583;5.79;5.85;3.62
0.34;Ideal;I;VS1;62.4;55;537;4.47;4.51;2.8
0.35;Ideal;E;VVS1;62;56;1116;4.58;4.51;2.82
0.58;Ideal;F;VVS2;62.5;56;2401;5.34;5.29;3.32
0.32;Ideal;G;VVS2;62.2;55;730;4.41;4.43;2.75
0.43;Ideal;F;IF;60.9;57;1580;4.89;4.86;2.97
1.74;Ideal;G;VS2;62.9;57;16316;7.68;7.64;4.82
0.71;Good;F;SI2;63.6;60;2072;5.64;5.61;3.58
1.01;Ideal;E;VS2;61.6;57;7198;6.43;6.46;3.97
1.17;Fair;I;I1;64.5;59;2336;6.67;6.47;4.25
1;Ideal;G;SI2;62.3;56;4861;6.46;6.44;3.96
0.33;Very Good;G;VS1;59.7;61;666;4.44;4.47;2.66
1.11;Premium;H;SI1;61.9;58;4960;6.63;6.59;4.09
2.14;Premium;E;SI2;61.5;58;18291;8.31;8.24;5.09
0.3;Good;G;VS1;63.6;55;776;4.29;4.26;2.72
0.31;Ideal;D;VS2;62.7;57;942;4.34;4.3;2.71
0.33;Very Good;F;VVS2;61.1;56;739;4.46;4.48;2.73
1.56;Ideal;F;VS2;62;55;17108;7.41;7.45;4.61
1;Ideal;E;VS2;62.8;57;6720;6.37;6.34;3.99
1.01;Good;D;VS1;62.2;62;7303;6.29;6.41;3.95
1.01;Premium;G;SI2;60.1;59;4327;6.55;6.46;3.91
1.02;Premium;D;SI2;62.1;57;4381;6.41;6.37;3.97
0.4;Ideal;I;VVS2;62;56;807;4.74;4.77;2.95
0.7;Ideal;E;VS2;62.1;55;2952;5.71;5.75;3.56
1.02;Premium;H;VS1;62.1;59;5569;6.43;6.38;3.98
0.3;Premium;D;VS2;61;60;911;4.33;4.29;2.63
0.3;Ideal;D;SI1;61;58;547;4.32;4.33;2.64
0.9;Premium;F;VS1;59;58;4770;6.29;6.33;3.72
1.73;Good;E;I1;63.6;59;8370;7.6;7.56;4.82
0.25;Very Good;F;VVS2;62.8;54;633;4;4.03;2.52
1.4;Ideal;H;IF;60.9;57;10976;7.22;7.29;4.42
1.16;Ideal;I;SI1;62.6;57;5091;6.71;6.67;4.19
0.38;Very Good;I;SI1;59.7;62;601;4.7;4.74;2.82
0.35;Ideal;E;SI1;60.7;56;667;4.57;4.59;2.78
0.7;Very Good;F;VVS1;60.6;60;3536;5.67;5.7;3.45
0.26;Very Good;D;VVS2;60.4;59;597;4.15;4.19;2.52
1.22;Premium;F;VS2;62.3;57;8731;6.84;6.8;4.25
0.39;Ideal;F;SI1;60.1;58;697;4.74;4.78;2.86
0.28;Good;E;VS2;63.7;60;625;4.23;4.18;2.68
0.43;Ideal;D;SI1;61.5;56;830;4.82;4.87;2.98
0.9;Good;F;SI1;62.8;64;3659;6.18;5.99;3.82
0.26;Very Good;E;VVS2;60.9;58;584;4.13;4.15;2.52
0.41;Premium;G;VVS1;59.9;59;1230;4.83;4.79;2.88
1.07;Premium;G;SI1;61.6;58;5453;6.6;6.56;4.05
0.28;Very Good;F;IF;62.2;55;612;4.23;4.26;2.64
0.33;Premium;G;VVS1;60.9;58;1114;4.47;4.43;2.71
0.42;Ideal;F;VS1;61;57;1103;4.87;4.84;2.96
1.26;Ideal;H;VVS2;61.8;56;8941;6.9;6.93;4.28
0.27;Premium;E;VS1;61.5;58;470;4.17;4.22;2.58
0.38;Ideal;H;VS2;62.8;55;898;4.66;4.64;2.92
2.01;Fair;E;SI2;65.5;56;11156;7.84;7.79;5.12
1.11;Ideal;G;VS2;61.4;56;7443;6.65;6.7;4.1
0.31;Ideal;E;VVS2;61.6;56;1074;4.39;4.35;2.69
2.54;Premium;H;SI2;61.3;58;14717;8.8;8.7;5.36
0.4;Ideal;F;VVS1;61.1;56;1908;4.78;4.81;2.93
0.3;Ideal;E;VS2;61.4;55;844;4.34;4.32;2.66
1.2;Ideal;F;VVS1;62;56;11455;6.76;6.82;4.21
2;Fair;H;SI1;65.1;59;13442;7.83;7.77;5.08
0.3;Ideal;F;VVS2;61.6;55;751;4.3;4.33;2.66
1.03;Very Good;D;VS1;59.6;61;6848;6.57;6.62;3.93
1.51;Premium;G;SI1;59.7;58;10020;7.5;7.45;4.46
0.55;Ideal;D;VVS2;61.5;56;3468;5.26;5.28;3.24
0.3;Very Good;F;IF;62.4;56;886;4.28;4.31;2.68
0.24;Very Good;F;VVS1;60.4;56;608;4.05;4.07;2.45
0.54;Ideal;J;VS1;61;56.1;1240;5.25;5.28;3.21
2.02;Ideal;I;SI1;62.4;56;16128;8.07;8.11;5.05
0.9;Very Good;D;SI1;64.2;55;4523;6.09;6.16;3.93
0.3;Ideal;E;VS2;62.1;55;844;4.32;4.28;2.67
0.4;Ideal;E;VVS1;62.4;57;1333;4.67;4.72;2.93
0.71;Good;F;VVS2;58.9;61;2960;5.8;5.9;3.44
0.42;Very Good;I;SI1;61;55.8;712;4.83;4.86;2.96
0.4;Premium;F;SI1;61.7;62;920;4.76;4.71;2.92
0.31;Ideal;E;VVS1;61;57;924;4.33;4.36;2.65
0.81;Ideal;I;VS2;62.4;54.8;2444;5.98;6.01;3.75
1.02;Ideal;H;VS1;62.2;56;5569;6.48;6.42;4.01
2.02;Ideal;G;SI2;62;55;18296;8.16;8.1;5.04
0.35;Premium;F;VS2;61.4;59;906;4.56;4.53;2.79
1.01;Good;F;VVS2;63.6;60;7059;6.36;6.31;4.03
0.71;Ideal;D;SI1;60.6;56;3674;5.78;5.81;3.51
0.35;Ideal;E;SI2;61.7;56;491;4.53;4.55;2.8
1.01;Good;G;SI2;63.6;58;3626;6.31;6.37;4.03
1.02;Very Good;E;SI2;62.9;56;4398;6.36;6.43;4.02
0.72;Premium;J;VS2;61.7;58;2043;5.77;5.67;3.53
0.31;Ideal;E;VS2;61.6;56;872;4.38;4.32;2.68
0.34;Ideal;D;VS2;61.4;56;805;4.5;4.53;2.77
2.02;Ideal;G;SI2;63.5;54;15814;7.96;8.02;5.07
0.8;Very Good;D;SI1;58.2;63;2925;6.07;6.03;3.52
0.31;Ideal;D;SI1;62.3;56;548;4.32;4.35;2.7
0.9;Premium;F;SI2;62;61;3704;6.16;6.14;3.81
0.71;Ideal;F;I1;60.1;57;1761;5.79;5.76;3.47
0.31;Premium;I;VS2;59.8;60;558;4.42;4.38;2.63
0.76;Very Good;G;SI1;63.7;58;2579;5.75;5.8;3.68
0.96;Premium;E;SI2;62.8;60;3016;6.3;6.24;3.94
1.09;Premium;E;SI2;60.9;59;5127;6.75;6.61;4.07
0.71;Premium;E;SI1;60.5;55;2756;5.79;5.74;3.49
1.13;Ideal;H;I1;61.1;56;3603;6.71;6.77;4.12
0.37;Ideal;E;SI1;61.9;56;833;4.6;4.57;2.84
1;Premium;E;SI2;62.7;58;4579;6.41;6.34;4
1.14;Premium;G;VS2;61.9;58;6144;6.68;6.72;4.15
0.43;Very Good;G;SI1;62.3;59;754;4.79;4.81;2.99
1.23;Very Good;H;SI1;62.5;56;7313;6.79;6.82;4.25
0.31;Very Good;H;VS2;63.1;57;628;4.31;4.28;2.71
0.55;Premium;F;SI1;62.9;58;1354;5.26;5.23;3.3
0.7;Fair;H;SI1;65.3;55;1865;5.58;5.54;3.63
0.31;Good;H;VS2;63.1;58;489;4.27;4.32;2.71
0.25;Very Good;H;VVS1;60.1;62;450;4.08;4.11;2.46
1.5;Good;H;SI1;64.3;60;9946;7.23;7.14;4.62
0.9;Very Good;G;VS2;61;60;4210;6.21;6.24;3.8
1.37;Ideal;G;SI2;62.8;57;6730;7.12;7.06;4.45
1;Very Good;G;VS2;63.1;61;5806;6.38;6.33;4.01
0.82;Fair;H;SI2;65.1;58;2358;5.86;5.81;3.8
1.32;Ideal;I;VS1;61.2;57;7480;7.06;7.12;4.34
0.34;Ideal;D;VS2;62.9;56;1033;4.5;4.44;2.81
0.5;Ideal;F;SI1;62;55;1304;5.08;5.12;3.16
0.3;Ideal;F;IF;60.8;57;873;4.34;4.38;2.65
0.81;Ideal;D;SI1;61.9;57;3353;6.01;5.97;3.71
0.5;Fair;G;I1;65.2;56;727;4.95;4.89;3.21
1.02;Very Good;H;VS2;63.3;60;5255;6.42;6.38;4.05
0.6;Premium;D;SI1;60.4;60;1896;5.44;5.48;3.3
0.31;Very Good;F;VS2;62.8;56;625;4.28;4.32;2.7
1.71;Ideal;G;SI1;62.1;56;13196;7.65;7.61;4.74
0.58;Very Good;E;VVS1;59.4;63;2568;5.42;5.32;3.19
0.3;Ideal;F;VS2;62.3;57;776;4.33;4.3;2.69
0.51;Very Good;H;VS1;62.3;56;1628;5.1;5.13;3.18
0.55;Ideal;D;VS2;61.8;54;1928;5.26;5.29;3.26
1.16;Very Good;H;SI2;59.6;59;4455;6.85;6.87;4.09
0.33;Premium;D;VS2;60.8;60;762;4.52;4.46;2.73
0.31;Good;D;SI2;63.9;57;462;4.28;4.33;2.75
0.94;Premium;G;SI2;63;59;3099;6.16;6.1;3.86
0.9;Premium;E;SI1;60.3;60;3917;6.27;6.2;3.76
0.3;Ideal;E;VS2;61.5;55;658;4.28;4.31;2.64
1.33;Ideal;G;VS1;59.9;57.3;10732;7.16;7.21;4.3
1.12;Ideal;H;SI1;60.7;56;5457;6.74;6.7;4.08
0.7;Ideal;F;SI1;59.9;57;2264;5.74;5.82;3.46
0.31;Ideal;H;SI1;61.3;57;421;4.36;4.38;2.68
2.32;Very Good;I;SI1;63.2;59;18371;8.55;8.44;5.37
1.08;Ideal;F;VS1;62.1;53;8321;6.6;6.64;4.11
2.01;Premium;H;SI1;62.7;59;17849;8.08;8.03;5.05
0.63;Premium;E;VVS2;62.1;57;2789;5.48;5.41;3.38
0.58;Ideal;F;SI1;62.3;54;1401;5.36;5.39;3.35
0.71;Ideal;J;VS2;62.4;54;1899;5.72;5.76;3.58
0.72;Ideal;F;SI2;61.6;57;2074;5.75;5.68;3.52
1.51;Premium;H;VS2;60.2;60;11435;7.33;7.35;4.42
0.75;Premium;H;SI1;60.2;59;2329;5.92;5.88;3.55
0.39;Very Good;E;SI1;59.1;59;670;4.76;4.81;2.83
0.51;Very Good;D;SI1;63;58;1442;5.05;5.07;3.19
1.02;Fair;D;SI1;66.4;60;4798;6.29;6.21;4.15
1.53;Ideal;G;VS1;60.6;54;13926;7.49;7.47;4.53
0.32;Premium;H;VS2;62.7;58;471;4.33;4.35;2.72
0.3;Premium;E;SI1;61.3;60;526;4.27;4.31;2.63
1.19;Ideal;E;SI1;61.3;57;7037;6.83;6.81;4.18
0.73;Very Good;F;VS2;58.9;60;2503;5.9;5.81;3.45
0.36;Premium;J;SI1;61.3;60;541;4.59;4.52;2.79
0.7;Ideal;H;VVS1;62.3;58;2866;5.66;5.7;3.54
0.25;Ideal;F;VS1;61.8;56;595;4.07;4.09;2.52
1.09;Ideal;G;VS2;62.3;57;6480;6.6;6.57;4.1
1.05;Premium;H;VS1;60.9;60;5580;6.58;6.53;3.99
1.01;Very Good;H;VS2;63.3;58;4692;6.33;6.27;3.99
2.24;Premium;J;SI2;62.2;59;13827;8.37;8.33;5.19
1.21;Premium;F;SI2;59.9;62;5746;6.92;6.88;4.13
0.41;Premium;G;VS1;60.5;58;961;4.8;4.76;2.89
